reliability,paper,subj_id,experiment,stimuli,training,hab,first.test,goal,mitten,causal,ageday,sex,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,n_hab,total_hab,firstthree,lastthree,habbed,T1,T2,T3,T4,T5,T6,ineff.1,ineff.2,ineff.3,eff.1,eff.2,eff.3,prop.ineff1,prop.ineff2,prop.ineff3,prop.ineff.all,avg.ineff,avg.eff,pref
0,SCS,SCS_S1_10,SCS.Exp.1,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,108,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8.4,6.9,11.2,12.7,3.6,6.4,0.398104,0.657143,0.636364,0.56387,8.833333,7.566667,ineff
0,SCS,SCS_S1_13,SCS.Exp.1,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,121,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8.1,12.4,5.9,6.8,3,4.8,0.543624,0.805195,0.551402,0.633407,8.8,4.866667,ineff
0,SCS,SCS_S1_14,SCS.Exp.1,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,105,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9.1,2.8,2,8.7,4.9,5.1,0.511236,0.363636,0.28169,0.385521,4.633333,6.233333,eff
0,SCS,SCS_S1_16,SCS.Exp.1,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,118,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6.1,3.9,2.6,5,4,3.4,0.54955,0.493671,0.433333,0.492185,4.2,4.133333,ineff
0,SCS,SCS_S1_18,SCS.Exp.1,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,103,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6.4,7.5,19.6,7.8,13.5,4.1,0.450704,0.357143,0.827004,0.54495,11.166667,8.466667,ineff
0,SCS,SCS_S1_19,SCS.Exp.1,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,111,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28.2,7.8,11.4,22.7,8.2,7.8,0.554028,0.4875,0.59375,0.545093,15.8,12.9,ineff
0,SCS,SCS_S1_3,SCS.Exp.1,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,107,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,6.2,7.5,5.8,7.5,9.2,0.508475,0.452555,0.449102,0.470044,6.566667,7.5,eff
0,SCS,SCS_S1_5,SCS.Exp.1,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,120,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2.3,2.5,1.9,2.2,2.1,2.7,0.511111,0.543478,0.413043,0.489211,2.233333,2.333333,eff
0,SCS,SCS_S1_6,SCS.Exp.1,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,103,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.3,18.5,12.9,45,8.3,10.1,0.359886,0.690299,0.56087,0.537018,18.9,21.133333,eff
0,SCS,SCS_S1_8,SCS.Exp.1,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,93,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3.7,4.8,2.9,2.5,4.3,6.8,0.596774,0.527473,0.298969,0.474405,3.8,4.533333,eff
0,SCS,SCS_S1_1,SCS.Exp.1,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,96,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4.8,5.9,6,5.7,4.8,8.1,0.457143,0.551402,0.425532,0.478026,5.566667,6.2,eff
0,SCS,SCS_S1_11,SCS.Exp.1,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,99,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6.8,30.9,8.2,4.7,3.6,11.4,0.591304,0.895652,0.418367,0.635108,15.3,6.566667,ineff
0,SCS,SCS_S1_12,SCS.Exp.1,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,112,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,15.7,45,45,7.4,45,45,0.679654,0.5,0.5,0.559885,35.233333,32.466667,ineff
0,SCS,SCS_S1_15,SCS.Exp.1,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,115,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5.7,5.7,5.5,2.6,2.5,6.2,0.686747,0.695122,0.470085,0.617318,5.633333,3.766667,ineff
0,SCS,SCS_S1_17,SCS.Exp.1,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,110,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,25,7.4,19.3,15,6.8,6.1,0.625,0.521127,0.759843,0.635323,17.233333,9.3,ineff
0,SCS,SCS_S1_2,SCS.Exp.1,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,111,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.6,13.2,10.9,15,5.8,4.9,0.630542,0.694737,0.689873,0.671717,16.566667,8.566667,ineff
0,SCS,SCS_S1_20,SCS.Exp.1,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,99,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7.2,6.9,7.6,2.2,4.6,7.4,0.765957,0.6,0.506667,0.624208,7.233333,4.733333,ineff
0,SCS,SCS_S1_4,SCS.Exp.1,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,116,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5.8,5,7.7,6.8,1.5,5.8,0.460317,0.769231,0.57037,0.599973,6.166667,4.7,ineff
0,SCS,SCS_S1_7,SCS.Exp.1,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,114,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7.6,20.5,20.9,6.3,45,12.1,0.546763,0.312977,0.633333,0.497691,16.333333,21.133333,eff
0,SCS,SCS_S1_9,SCS.Exp.1,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,116,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8.8,4.5,20.7,17.9,21.4,3,0.329588,0.173745,0.873418,0.458917,11.333333,14.1,eff
0,SCS,SCS_S2_13,SCS.Exp.2,,ineffective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,113,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1.9,4.7,8.1,13.3,6,17,0.125,0.439252,0.322709,0.295654,4.9,12.1,eff
0,SCS,SCS_S2_17,SCS.Exp.2,,ineffective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,119,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,12.9,17.7,20.4,26.3,18.3,10.8,0.329082,0.491667,0.653846,0.491531,17,18.466667,eff
0,SCS,SCS_S2_18,SCS.Exp.2,,ineffective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,119,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7.8,9.7,9.3,7.3,7.4,12.2,0.516556,0.567251,0.432558,0.505455,8.933333,8.966667,eff
0,SCS,SCS_S2_19,SCS.Exp.2,,ineffective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,94,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,15,13.4,12.6,28.2,15.7,11.2,0.347222,0.460481,0.529412,0.445705,13.666667,18.366667,eff
0,SCS,SCS_S2_2,SCS.Exp.2,,ineffective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,116,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5.2,4.9,5.7,5.7,14.5,9.8,0.477064,0.252577,0.367742,0.365794,5.266667,10,eff
0,SCS,SCS_S2_3,SCS.Exp.2,,ineffective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,104,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,45,7.8,7.5,45,35.3,13.5,0.5,0.180974,0.357143,0.346039,20.1,31.266667,eff
0,SCS,SCS_S2_4,SCS.Exp.2,,ineffective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,101,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4.2,5.8,11.8,15.6,5.6,22.1,0.212121,0.508772,0.348083,0.356325,7.266667,14.433333,eff
0,SCS,SCS_S2_5,SCS.Exp.2,,ineffective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,105,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6.6,9.8,32.1,7.7,16.9,14,0.461538,0.367041,0.696312,0.508297,16.166667,12.866667,ineff
0,SCS,SCS_S2_6,SCS.Exp.2,,ineffective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,107,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7.1,7.1,11.8,11.9,7.7,8.7,0.373684,0.47973,0.57561,0.476341,8.666667,9.433333,eff
0,SCS,SCS_S2_8,SCS.Exp.2,,ineffective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,108,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,15.5,10.1,18.9,5.6,6.1,0.27027,0.734597,0.623457,0.542775,10.866667,10.2,ineff
0,SCS,SCS_S2_1,SCS.Exp.2,,ineffective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,98,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5.3,5.8,5.2,4.9,3.3,3.9,0.519608,0.637363,0.571429,0.576133,5.433333,4.033333,ineff
0,SCS,SCS_S2_10,SCS.Exp.2,,ineffective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,107,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,14.3,14.3,12.5,8.9,7.5,14.1,0.616379,0.655963,0.469925,0.580756,13.7,10.166667,ineff
0,SCS,SCS_S2_11,SCS.Exp.2,,ineffective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,102,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6.8,14.9,5.5,6,6.3,29,0.53125,0.70283,0.15942,0.4645,9.066667,13.766667,eff
0,SCS,SCS_S2_12,SCS.Exp.2,,ineffective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,122,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,14.8,13.8,11.1,16.5,11.2,6.7,0.472843,0.552,0.623596,0.54948,13.233333,11.466667,ineff
0,SCS,SCS_S2_14,SCS.Exp.2,,ineffective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,115,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21,8.8,5.3,6.5,6.5,7.8,0.763636,0.575163,0.40458,0.581127,11.7,6.933333,ineff
0,SCS,SCS_S2_15,SCS.Exp.2,,ineffective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,97,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4.6,2.5,6.5,6.3,6.5,6.2,0.422018,0.277778,0.511811,0.403869,4.533333,6.333333,eff
0,SCS,SCS_S2_16,SCS.Exp.2,,ineffective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,97,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7.9,9.2,6.6,19.9,16,7.8,0.284173,0.365079,0.458333,0.369195,7.9,14.566667,eff
0,SCS,SCS_S2_20,SCS.Exp.2,,ineffective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,102,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,9.6,0.6,2.6,9.3,9.7,5.3,0.507937,0.058252,0.329114,0.298434,4.266667,8.1,eff
0,SCS,SCS_S2_7,SCS.Exp.2,,ineffective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,109,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,34.1,15.3,16.6,11.9,6.6,45,0.741304,0.69863,0.269481,0.569805,22,21.166667,ineff
0,SCS,SCS_S2_9,SCS.Exp.2,,ineffective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,93,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9.1,18.1,7.9,11,18.2,1.2,0.452736,0.498623,0.868132,0.606497,11.7,10.133333,ineff
0,SCS,SCS_S3_10,SCS.Exp.3,,no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,107,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6.1,3.4,4,5.3,9.7,4.2,0.535088,0.259542,0.487805,0.427478,4.5,6.4,eff
0,SCS,SCS_S3_12,SCS.Exp.3,,no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,118,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2.4,2.3,1.9,2.9,2.1,1.9,0.45283,0.522727,0.5,0.491852,2.2,2.3,eff
0,SCS,SCS_S3_14,SCS.Exp.3,,no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,108,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,11.5,12.1,12.6,8.7,10.4,5.4,0.569307,0.537778,0.7,0.602362,12.066667,8.166667,ineff
0,SCS,SCS_S3_15,SCS.Exp.3,,no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,118,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7.7,8.4,6.5,19,9.6,14.7,0.28839,0.466667,0.306604,0.353887,7.533333,14.433333,eff
0,SCS,SCS_S3_16,SCS.Exp.3,,no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,118,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6.4,5,19.1,5.1,4.9,12.2,0.556522,0.505051,0.610224,0.557265,10.166667,7.4,ineff
0,SCS,SCS_S3_18,SCS.Exp.3,,no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,111,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5.8,8.4,5.2,37.5,14.8,3.1,0.133949,0.362069,0.626506,0.374175,6.466667,18.466667,eff
0,SCS,SCS_S3_19,SCS.Exp.3,,no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,91,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28.1,2.8,13.6,25.3,23.8,7.1,0.526217,0.105263,0.657005,0.429495,14.833333,18.733333,eff
0,SCS,SCS_S3_3,SCS.Exp.3,,no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,108,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,19.8,20,7.2,45,14.3,6.9,0.305556,0.58309,0.510638,0.466428,15.666667,22.066667,eff
0,SCS,SCS_S3_5,SCS.Exp.3,,no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,93,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6.8,9.3,8.3,8.2,8.9,16.4,0.453333,0.510989,0.336032,0.433452,8.133333,11.166667,eff
0,SCS,SCS_S3_8,SCS.Exp.3,,no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,120,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,7.3,13.5,10.4,41.6,20.6,0.463918,0.149284,0.395894,0.336365,9.933333,24.2,eff
0,SCS,SCS_S3_1,SCS.Exp.3,,no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,109,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4.7,4.7,3,5.5,4.4,3.3,0.460784,0.516484,0.47619,0.484486,4.133333,4.4,eff
0,SCS,SCS_S3_11,SCS.Exp.3,,no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,110,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,12,16.3,17,9.6,2.7,18,0.555556,0.857895,0.485714,0.633055,15.1,10.1,ineff
0,SCS,SCS_S3_13,SCS.Exp.3,,no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,113,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,10.7,19.9,4.9,8.8,9.7,6.7,0.548718,0.672297,0.422414,0.54781,11.833333,8.4,ineff
0,SCS,SCS_S3_17,SCS.Exp.3,,no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,121,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,18.6,41.9,29,43.6,13.7,14.8,0.299035,0.753597,0.6621,0.571578,29.833333,24.033333,ineff
0,SCS,SCS_S3_2,SCS.Exp.3,,no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,103,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12.1,6.1,22.2,9.1,29.8,5.1,0.570755,0.169916,0.813187,0.517953,13.466667,14.666667,eff
0,SCS,SCS_S3_20,SCS.Exp.3,,no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,104,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6.4,7.1,4.6,9.2,4.7,13.9,0.410256,0.601695,0.248649,0.4202,6.033333,9.266667,eff
0,SCS,SCS_S3_4,SCS.Exp.3,,no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,104,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,29.3,7.2,3,32.8,15.7,1.6,0.47182,0.31441,0.652174,0.479468,13.166667,16.7,eff
0,SCS,SCS_S3_6,SCS.Exp.3,,no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,104,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,18.1,3.9,33.8,37.8,9.6,12.1,0.323792,0.288889,0.736383,0.449688,18.6,19.833333,eff
0,SCS,SCS_S3_7,SCS.Exp.3,,no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,97,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,45,34.3,9.4,45,12.7,23.8,0.5,0.729787,0.283133,0.504307,29.566667,27.166667,ineff
0,SCS,SCS_S3_9,SCS.Exp.3,,no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,105,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,14.5,5.1,12.5,7.6,6.5,14.7,0.656109,0.439655,0.459559,0.518441,10.7,9.6,ineff
0,SCS,SCS_S4_10,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,117,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,14,12.2,17.6,11.5,7.7,16.9,0.54902,0.613065,0.510145,0.55741,14.6,12.033333,ineff
0,SCS,SCS_S4_13,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,112,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,5.8,14.9,5.2,4.5,4.9,0.57377,0.563107,0.752525,0.629801,9.233333,4.866667,ineff
0,SCS,SCS_S4_14,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,116,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,9.2,6.2,20,6.8,6.5,9.2,0.575,0.488189,0.684932,0.582707,11.8,7.5,ineff
0,SCS,SCS_S4_15,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,120,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6.1,4.5,20.8,9.1,6.7,3.3,0.401316,0.401786,0.863071,0.555391,10.466667,6.366667,ineff
0,SCS,SCS_S4_19,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,95,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,31.4,18,4.6,45,9.7,7.1,0.410995,0.649819,0.393162,0.484659,18,20.6,eff
0,SCS,SCS_S4_20,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,112,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8.2,6.3,6.6,11.2,6.7,1.1,0.42268,0.484615,0.857143,0.588146,7.033333,6.333333,ineff
0,SCS,SCS_S4_23,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,100,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7.4,4.5,2.7,7.9,4.3,2.7,0.48366,0.511364,0.5,0.498341,4.866667,4.966667,eff
0,SCS,SCS_S4_25,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,118,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,23,19.5,15.4,18.3,9.5,6.9,0.556901,0.672414,0.690583,0.639966,19.3,11.566667,ineff
0,SCS,SCS_S4_26,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,96,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5.4,7.7,9.5,28.2,22.1,4.1,0.160714,0.258389,0.698529,0.372544,7.533333,18.133333,eff
0,SCS,SCS_S4_4,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,114,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.7,7.7,5,7.2,9.5,5.2,0.750865,0.447674,0.490196,0.562912,11.466667,7.3,ineff
0,SCS,SCS_S4_5,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,119,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8.6,12.5,12.4,9.5,4.7,6.5,0.475138,0.726744,0.656085,0.619322,11.166667,6.9,ineff
0,SCS,SCS_S4_6,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,115,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5.8,5,25.9,12.3,5.3,6,0.320442,0.485437,0.811912,0.539264,12.233333,7.866667,ineff
0,SCS,SCS_S4_9,SCS.Exp.4,,effective.training,constrained,efficient,pick.up,yes.mitten,yes.causal,94,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,28.8,9.1,7.4,5.7,5.4,5.4,0.834783,0.627586,0.578125,0.680165,15.1,5.5,ineff
0,SCS,SCS_S4_1,SCS.Exp.4,,effective.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,107,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5.4,5.9,9.8,7.2,8.4,5.7,0.428571,0.412587,0.632258,0.491139,7.033333,7.1,eff
