reliability,paper,subj_id,experiment,stimuli,training,hab,first.test,goal,mitten,causal,ageday,sex,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,n_hab,total_hab,firstthree,lastthree,habbed,T1,T2,T3,T4,T5,T6,ineff.1,ineff.2,ineff.3,eff.1,eff.2,eff.3,prop.ineff1,prop.ineff2,prop.ineff3,prop.ineff.all,avg.ineff,avg.eff,pref
1,LBS,S3_51,Exp.3,"H1, T1",no.training,constrained,inefficient,state.change,yes.mitten,yes.causal,120,m,13.5,14.1,11.7,13,10.4,9.7,10,6.8,6.6,5.5,,,10,101.3,39.3,30.1,1,7.524,9.471,6.468,13.992,6.204,5.313,7.524,6.468,6.204,9.471,13.992,5.313,0.442718,0.316129,0.538682,0.43251,6.73,9.59,eff
0,LBS,S3_52,Exp.3,"H1, T1",no.training,constrained,inefficient,state.change,yes.mitten,yes.causal,109,f,45,29.5,26.5,6.5,45,42.6,17.3,11.5,10.4,,,,9,234.3,101,104.9,1,30.03,2.838,17.754,NA,32.868,14.949,30.03,17.754,32.868,2.838,NA,14.949,0.913655,NA,0.687371,0.800513,26.88,8.89,ineff
0,LBS,S4_1,Exp.4,"H4, T3",no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,103,m,45,44.64,27.48,22.22,15.27,8.08,,,,,,,6,162.69,117.12,23.35,1,45,44.6,27.5,22.2,15.3,8.1,44.64,22.22,8.08,45,27.48,15.27,0.497992,0.447082,0.346039,0.430371,24.98,29.25,eff
1,LBS,S4_10,Exp.4,"H4, T3",no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,102,f,35.78,45,18.05,15.24,7.33,31,23.22,21.47,5.9,,,,9,202.99,98.83,61.55,1,35.8,45,18.1,15.2,7.3,31,45,15.24,31,35.78,18.05,7.33,0.557069,0.457795,0.808766,0.607877,30.41,20.39,ineff
0,LBS,S4_2,Exp.4,"H4, T3",no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,113,f,37.07,41.23,8.63,8.14,12.04,14.85,,,,,,,6,121.96,86.93,26.89,1,37.1,41.2,8.6,8.1,12,14.9,41.23,8.14,14.85,37.07,8.63,12.04,0.526564,0.485391,0.55225,0.521402,21.41,19.25,ineff
0,LBS,S4_3,Exp.4,"H4, T3",no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,101,m,45,8.34,8.25,9.71,10.69,45,31.14,29.97,24.64,26,7.44,51.44,12,297.62,61.59,86.83,0,45,8.3,8.3,9.7,10.7,45,8.34,9.71,45,45,8.25,10.69,0.156355,0.540646,0.808045,0.501682,21.02,21.31,eff
0,LBS,S4_4,Exp.4,"H4, T3",no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,107,f,23.73,45,14.96,14.35,33.47,9.07,10.59,24.06,15.7,11.79,12.3,,11,215.02,83.69,53.13,1,23.7,45,15,14.4,33.5,9.1,45,14.35,9.07,23.73,14.96,33.47,0.654736,0.489594,0.213211,0.452514,22.81,24.05,eff
1,LBS,S4_5,Exp.4,"H4, T3",no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,100,f,15.55,7.83,4.9,4.72,5.2,5.03,,,,,,,6,43.23,28.28,10.23,1,15.6,7.8,4.9,4.7,5.2,5,7.83,4.72,5.03,15.55,4.9,5.2,0.334902,0.490644,0.491691,0.439079,5.86,8.55,eff
1,LBS,S4_6,Exp.4,"H4, T3",no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,113,m,9.28,14.29,22.72,19.91,26.05,12.57,12.8,6.14,5.5,,,,9,129.26,46.29,51.42,1,9.3,14.3,22.7,19.9,26.1,12.6,14.29,19.91,12.57,9.28,22.72,26.05,0.606279,0.467042,0.325479,0.466267,15.59,19.35,eff
1,LBS,S4_7,Exp.4,"H4, T3",no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,122,m,12.79,6.13,5.98,6.5,8.03,7.93,9.21,18.41,36.11,4.96,11.81,45,12,172.86,24.9,25.17,0,12.8,6.1,6,6.5,8,7.9,6.13,6.5,7.93,12.79,5.98,8.03,0.323996,0.520833,0.496867,0.447232,6.85,8.93,eff
