row,experiment,subj_id,coder,orig_id,trial,newlook,look.orig,gap
90,Exp.1,S1_36,DE,01_23,6,4.323,5.9,-1.577
91,Exp.1,S1_37,NG,02_07_03,1,9.075,7.7,1.375
92,Exp.1,S1_37,NG,02_07_03,2,4.191,5.1,-0.909
93,Exp.1,S1_37,NG,02_07_03,3,10.197,10.5,-0.303
94,Exp.1,S1_37,NG,02_07_03,4,3.861,4.7,-0.839
95,Exp.1,S1_37,NG,02_07_03,5,4.356,4.5,-0.144
96,Exp.1,S1_37,NG,02_07_03,6,4.587,7.7,-3.113
97,Exp.1,S1_39,BP,01_03_02,1,31.02,33.5,-2.48
98,Exp.1,S1_39,BP,01_03_02,2,6.27,6.6,-0.33
99,Exp.1,S1_39,BP,01_03_02,3,15.378,15,0.378
100,Exp.1,S1_39,BP,01_03_02,4,22.143,18.9,3.243
101,Exp.1,S1_39,BP,01_03_02,5,2.871,3.4,-0.529
102,Exp.1,S1_39,BP,01_03_02,6,5.115,5.5,-0.385
103,Exp.1,S1_40,NG,01_19,1,6.6,9,-2.4
104,Exp.1,S1_40,NG,01_19,2,13.398,13.7,-0.302
105,Exp.1,S1_40,NG,01_19,3,6.171,7.1,-0.929
106,Exp.1,S1_40,NG,01_19,4,15.213,15,0.213
107,Exp.1,S1_40,NG,01_19,5,22.737,22.4,0.337
108,Exp.1,S1_40,NG,01_19,6,6.732,7.2,-0.468
109,Exp.2,S2_10,BP,12-JT,1,2.145,5.4,-3.255
110,Exp.2,S2_10,BP,12-JT,2,4.62,3.7,0.92
111,Exp.2,S2_10,BP,12-JT,3,2.805,6.4,-3.595
112,Exp.2,S2_10,BP,12-JT,4,5.412,3.2,2.212
113,Exp.2,S2_10,BP,12-JT,5,7.458,4.1,3.358
114,Exp.2,S2_10,BP,12-JT,6,7.095,4.2,2.895
115,Exp.2,S2_17,BP,16-TA,1,3.366,14.8,-11.434
116,Exp.2,S2_17,BP,16-TA,2,5.577,6.7,-1.123
117,Exp.2,S2_17,BP,16-TA,3,3.036,13,-9.964
118,Exp.2,S2_17,BP,16-TA,4,5.907,7.1,-1.193
119,Exp.2,S2_17,BP,16-TA,5,6.369,8.3,-1.931
120,Exp.2,S2_17,BP,16-TA,6,7.59,9.7,-2.11
121,Exp.2,S2_18,DE,14-CS,1,13.2,19.8,-6.6
122,Exp.2,S2_18,DE,14-CS,2,5.874,28.5,-22.626
123,Exp.2,S2_18,DE,14-CS,3,9.372,30.3,-20.928
124,Exp.2,S2_18,DE,14-CS,4,17.754,34.4,-16.646
125,Exp.2,S2_18,DE,14-CS,5,2.937,43.8,-40.863
126,Exp.2,S2_18,DE,14-CS,6,9.438,45,-35.562
127,Exp.2,S2_19,NG,10-KN,1,13.299,5.2,8.099
128,Exp.2,S2_19,NG,10-KN,2,3.399,19.4,-16.001
129,Exp.2,S2_19,NG,10-KN,3,14.223,27.7,-13.477
130,Exp.2,S2_19,NG,10-KN,4,9.603,36.5,-26.897
131,Exp.2,S2_19,NG,10-KN,5,5.808,29.9,-24.092
132,Exp.2,S2_19,NG,10-KN,6,13.266,15.2,-1.934
133,Exp.2,S2_20,DE,5-JS,1,5.544,18.4,-12.856
134,Exp.2,S2_20,DE,5-JS,2,2.871,12.8,-9.929
135,Exp.2,S2_20,DE,5-JS,3,0.198,32.8,-32.602
136,Exp.2,S2_20,DE,5-JS,4,0.66,9.5,-8.84
137,Exp.2,S2_20,DE,5-JS,5,5.082,15.9,-10.818
138,Exp.2,S2_20,DE,5-JS,6,6.171,7.6,-1.429
139,Exp.2,S2_5,DE,17-KP,1,3.003,8.5,-5.497
140,Exp.2,S2_5,DE,17-KP,2,4.323,7.4,-3.077
141,Exp.2,S2_5,DE,17-KP,3,2.805,4.3,-1.495
142,Exp.2,S2_5,DE,17-KP,4,5.94,9.3,-3.36
143,Exp.2,S2_5,DE,17-KP,5,2.409,6.2,-3.791
144,Exp.2,S2_5,DE,17-KP,6,5.313,4,1.313
145,Exp.2,S2_6,NG,19-JH,1,6.567,13.8,-7.233
146,Exp.2,S2_6,NG,19-JH,2,12.276,7,5.276
147,Exp.2,S2_6,NG,19-JH,3,7.26,7.7,-0.44
148,Exp.2,S2_6,NG,19-JH,4,5.346,6.2,-0.854
149,Exp.2,S2_6,NG,19-JH,5,2.673,6.3,-3.627
150,Exp.2,S2_6,NG,19-JH,6,7.953,7.6,0.353
151,Exp.2,S2_7,DE,15-CW,1,4.917,9.5,-4.583
152,Exp.2,S2_7,DE,15-CW,2,6.798,8,-1.202
153,Exp.2,S2_7,DE,15-CW,3,21.2,7,14.2
154,Exp.2,S2_7,DE,15-CW,4,22.242,5.3,16.942
155,Exp.2,S2_7,DE,15-CW,5,41.712,10.3,31.412
156,Exp.2,S2_7,DE,15-CW,6,6.567,8.1,-1.533
157,Exp.2,S2_8,NG,20-LO,1,6.006,8.5,-2.494
158,Exp.2,S2_8,NG,20-LO,2,3.894,19.1,-15.206
159,Exp.2,S2_8,NG,20-LO,3,24.123,7.7,16.423
160,Exp.2,S2_8,NG,20-LO,4,12.804,12.1,0.704
161,Exp.2,S2_8,NG,20-LO,5,7.062,7.9,-0.838
162,Exp.2,S2_8,NG,20-LO,6,8.217,19.5,-11.283
163,Exp.2,S2_9,BP,18-ZD,1,24.585,11.2,13.385
164,Exp.2,S2_9,BP,18-ZD,2,16.863,15.9,0.963
165,Exp.2,S2_9,BP,18-ZD,3,6.996,16.8,-9.804
166,Exp.2,S2_9,BP,18-ZD,4,7.326,25.4,-18.074
167,Exp.2,S2_9,BP,18-ZD,5,9.207,8,1.207
168,Exp.2,S2_9,BP,18-ZD,6,9.9,14.7,-4.8
169,Exp.3,S3_14,DE,23-LF,1,1.551,1.815,-0.264
170,Exp.3,S3_14,DE,23-LF,2,7.359,7.26,0.099
171,Exp.3,S3_14,DE,23-LF,3,10.626,NA,NA
172,Exp.3,S3_14,DE,23-LF,4,12.969,13.101,-0.132
173,Exp.3,S3_14,DE,23-LF,5,2.508,NA,NA
174,Exp.3,S3_14,DE,23-LF,6,10.23,9.438,0.792
175,Exp.3,S3_15,BP,27-HR,1,3.003,2.805,0.198
176,Exp.3,S3_15,BP,27-HR,2,2.64,2.409,0.231
177,Exp.3,S3_15,BP,27-HR,3,7.392,6.963,0.429
178,Exp.3,S3_15,BP,27-HR,4,5.478,4.125,1.353
179,Exp.3,S3_15,BP,27-HR,5,4.059,6.699,-2.64
180,Exp.3,S3_15,BP,27-HR,6,2.937,4.653,-1.716
181,Exp.3,S3_16,DE,28-HC,1,20.328,20.46,-0.132
182,Exp.3,S3_16,DE,28-HC,2,5.808,5.643,0.165
183,Exp.3,S3_16,DE,28-HC,3,5.709,5.511,0.198
184,Exp.3,S3_16,DE,28-HC,4,6.963,5.775,1.188
185,Exp.3,S3_16,DE,28-HC,5,11.847,11.649,0.198
186,Exp.3,S3_16,DE,28-HC,6,6.864,6.854,0.01
187,Exp.3,S3_17,DE,29-TD,1,6.171,5.94,0.231
188,Exp.3,S3_17,DE,29-TD,2,9.273,9.636,-0.363
189,Exp.3,S3_17,DE,29-TD,3,24.915,25.377,-0.462
190,Exp.3,S3_17,DE,29-TD,4,8.085,8.514,-0.429
191,Exp.3,S3_17,DE,29-TD,5,45,45,0
192,Exp.3,S3_17,DE,29-TD,6,8.877,8.679,0.198
193,Exp.3,S3_18,BP,34-CK,1,3.498,3.234,0.264
194,Exp.3,S3_18,BP,34-CK,2,5.082,4.917,0.165
195,Exp.3,S3_18,BP,34-CK,3,3.894,3.696,0.198
196,Exp.3,S3_18,BP,34-CK,4,18.513,19.899,-1.386
197,Exp.3,S3_18,BP,34-CK,5,3.432,2.772,0.66
198,Exp.3,S3_18,BP,34-CK,6,6.798,5.544,1.254
199,Exp.3,S3_19,NG,35-GW,1,13.002,12.705,0.297
200,Exp.3,S3_19,NG,35-GW,2,3.201,3.069,0.132
201,Exp.3,S3_19,NG,35-GW,3,5.313,5.313,0
202,Exp.3,S3_19,NG,35-GW,4,10.131,6.93,3.201
203,Exp.3,S3_19,NG,35-GW,5,3.96,4.158,-0.198
204,Exp.3,S3_19,NG,35-GW,6,16.599,16.698,-0.099
205,Exp.3,S3_20,DE,36-JH,1,15.873,13.101,2.772
206,Exp.3,S3_20,DE,36-JH,2,14.685,14.421,0.264
207,Exp.3,S3_20,DE,36-JH,3,5.181,4.95,0.231
208,Exp.3,S3_20,DE,36-JH,4,8.745,6.666,2.079
209,Exp.3,S3_20,DE,36-JH,5,7.722,8.019,-0.297
210,Exp.3,S3_20,DE,36-JH,6,7.029,6.798,0.231
211,Exp.3,S3_21,DE,39-JB,1,5.247,5.016,0.231
212,Exp.3,S3_21,DE,39-JB,2,14.685,15.708,-1.023
213,Exp.3,S3_21,DE,39-JB,3,6.369,3.267,3.102
214,Exp.3,S3_21,DE,39-JB,4,6.402,5.61,0.792
215,Exp.3,S3_21,DE,39-JB,5,16.236,16.467,-0.231
216,Exp.3,S3_21,DE,39-JB,6,12.375,12.21,0.165
217,Exp.3,S3_25,BP,46-AB,1,11.748,10.626,1.122
218,Exp.3,S3_25,BP,46-AB,2,9.306,8.613,0.693
219,Exp.3,S3_25,BP,46-AB,3,7.458,7.227,0.231
220,Exp.3,S3_25,BP,46-AB,4,35.079,34.847,0.232
221,Exp.3,S3_25,BP,46-AB,5,4.917,4.95,-0.033
222,Exp.3,S3_25,BP,46-AB,6,2.211,2.013,0.198
223,Exp.3,S3_26,NG,49-AD,1,20.856,21.252,-0.396
224,Exp.3,S3_26,NG,49-AD,2,45,45,0
225,Exp.3,S3_26,NG,49-AD,3,3.399,2.838,0.561
226,Exp.3,S3_26,NG,49-AD,4,2.211,4.422,-2.211
227,Exp.3,S3_26,NG,49-AD,5,1.287,0.891,0.396
228,Exp.3,S3_26,NG,49-AD,6,7.458,7.03,0.428
229,Exp.3,S3_34,NG,21-CD,1,12.243,10.395,1.848
230,Exp.3,S3_34,NG,21-CD,2,18.084,16.929,1.155
231,Exp.3,S3_34,NG,21-CD,3,14.091,6.765,7.326
232,Exp.3,S3_34,NG,21-CD,4,8.085,5.61,2.475
233,Exp.3,S3_34,NG,21-CD,5,21.45,19.173,2.277
234,Exp.3,S3_34,NG,21-CD,6,6.369,7.227,-0.858
235,Exp.3,S3_36,BP,24-VS,1,6.6,6.369,0.231
236,Exp.3,S3_36,BP,24-VS,2,2.739,2.541,0.198
237,Exp.3,S3_36,BP,24-VS,3,5.247,4.587,0.66
238,Exp.3,S3_36,BP,24-VS,4,1.98,1.749,0.231
239,Exp.3,S3_36,BP,24-VS,5,5.445,4.851,0.594
240,Exp.3,S3_36,BP,24-VS,6,3.003,2.871,0.132
241,Exp.3,S3_37,BP,25-WR,1,17.061,17.919,-0.858
242,Exp.3,S3_37,BP,25-WR,2,45,45,0
243,Exp.3,S3_37,BP,25-WR,3,16.566,16.401,0.165
244,Exp.3,S3_37,BP,25-WR,4,38.874,42.009,-3.135
245,Exp.3,S3_37,BP,25-WR,5,25.146,22.506,2.64
246,Exp.3,S3_37,BP,25-WR,6,26.332,25.41,0.922
247,Exp.3,S3_38,DE,26-WS,1,10.362,11.451,-1.089
248,Exp.3,S3_38,DE,26-WS,2,10.296,4.521,5.775
249,Exp.3,S3_38,DE,26-WS,3,6.93,7.062,-0.132
250,Exp.3,S3_38,DE,26-WS,4,6.633,6.435,0.198
251,Exp.3,S3_38,DE,26-WS,5,14.883,14.19,0.693
252,Exp.3,S3_38,DE,26-WS,6,9.339,9.141,0.198
253,Exp.3,S3_39,DE,30-FF,1,11.682,13.563,-1.881
254,Exp.3,S3_39,DE,30-FF,2,8.481,8.844,-0.363
255,Exp.3,S3_39,DE,30-FF,3,13.926,13.794,0.132
256,Exp.3,S3_39,DE,30-FF,4,5.445,5.214,0.231
257,Exp.3,S3_39,DE,30-FF,5,9.603,9.405,0.198
258,Exp.3,S3_39,DE,30-FF,6,3.168,3.003,0.165
259,Exp.3,S3_40,BP,31-LD,1,18.975,1.815,17.16
260,Exp.3,S3_40,BP,31-LD,2,9.372,4.554,4.818
261,Exp.3,S3_40,BP,31-LD,3,13.035,6.567,6.468
262,Exp.3,S3_40,BP,31-LD,4,12.375,1.485,10.89
263,Exp.3,S3_40,BP,31-LD,5,16.83,15.081,1.749
264,Exp.3,S3_40,BP,31-LD,6,37.884,4.191,33.693
265,Exp.3,S3_41,NG,32-AL,1,7.26,7.26,0
266,Exp.3,S3_41,NG,32-AL,2,5.874,5.784,0.09
267,Exp.3,S3_41,NG,32-AL,3,45,45,0
268,Exp.3,S3_41,NG,32-AL,4,13.431,13.53,-0.099
269,Exp.3,S3_41,NG,32-AL,5,26.73,26.73,0
270,Exp.3,S3_41,NG,32-AL,6,8.943,8.943,0
271,Exp.3,S3_42,NG,33-VP,1,19.701,19.899,-0.198
272,Exp.3,S3_42,NG,33-VP,2,24.453,24.123,0.33
273,Exp.3,S3_42,NG,33-VP,3,19.338,18.412,0.926
274,Exp.3,S3_42,NG,33-VP,4,26.994,28.774,-1.78
275,Exp.3,S3_42,NG,33-VP,5,12.243,12.969,-0.726
276,Exp.3,S3_42,NG,33-VP,6,30.03,30.459,-0.429
277,Exp.3,S3_43,DE,37-LF,1,45,45,0
278,Exp.3,S3_43,DE,37-LF,2,36.333,29.271,7.062
279,Exp.3,S3_43,DE,37-LF,3,15.246,15.147,0.099
280,Exp.3,S3_43,DE,37-LF,4,8.283,8.283,0
281,Exp.3,S3_43,DE,37-LF,5,45,45,0
282,Exp.3,S3_43,DE,37-LF,6,31.647,31.416,0.231
283,Exp.3,S3_44,DE,38-NM,1,35.937,36.696,-0.759
284,Exp.3,S3_44,DE,38-NM,2,10.557,11.517,-0.96
285,Exp.3,S3_44,DE,38-NM,3,6.567,6.435,0.132
286,Exp.3,S3_44,DE,38-NM,4,4.488,4.587,-0.099
287,Exp.3,S3_44,DE,38-NM,5,7.392,7.194,0.198
288,Exp.3,S3_44,DE,38-NM,6,9.966,10.263,-0.297
289,Exp.3,S3_46,BP,42-RN,1,9.867,9.801,0.066
290,Exp.3,S3_46,BP,42-RN,2,3.696,3.498,0.198
291,Exp.3,S3_46,BP,42-RN,3,3.102,2.871,0.231
292,Exp.3,S3_46,BP,42-RN,4,2.772,2.541,0.231
293,Exp.3,S3_46,BP,42-RN,5,4.851,4.686,0.165
294,Exp.3,S3_46,BP,42-RN,6,3.597,3.432,0.165
295,Exp.3,S3_47,BP,45-JD,1,13.134,10.23,2.904
