row,experiment,subj_id,coder,orig_id,trial,newlook,look.orig,gap
394,Exp.5,S5_16,NG,18-GK,4,9.008,8.5,0.508
395,Exp.5,S5_16,NG,18-GK,5,9.438,9.2,0.238
396,Exp.5,S5_16,NG,18-GK,6,3.993,4.2,-0.207
397,Exp.5,S5_17,BP,19-JBD,1,8.316,8.6,-0.284
398,Exp.5,S5_17,BP,19-JBD,2,19.767,20,-0.233
399,Exp.5,S5_17,BP,19-JBD,3,11.715,11.5,0.215
400,Exp.5,S5_17,BP,19-JBD,4,8.811,8.2,0.611
401,Exp.5,S5_17,BP,19-JBD,5,11.22,9.1,2.12
402,Exp.5,S5_17,BP,19-JBD,6,16.566,11.7,4.866
403,Exp.5,S5_18,NG,15-OC,1,3.729,4,-0.271
404,Exp.5,S5_18,NG,15-OC,2,4.521,4.8,-0.279
405,Exp.5,S5_18,NG,15-OC,3,4.488,10.3,-5.812
406,Exp.5,S5_18,NG,15-OC,4,3.597,4,-0.403
407,Exp.5,S5_18,NG,15-OC,5,11.682,5.5,6.182
408,Exp.5,S5_18,NG,15-OC,6,9.933,8.1,1.833
409,Exp.5,S5_19,NG,14-FZ,1,8.315,7.3,1.015
410,Exp.5,S5_19,NG,14-FZ,2,13.53,9.7,3.83
411,Exp.5,S5_19,NG,14-FZ,3,9.339,8.7,0.639
412,Exp.5,S5_19,NG,14-FZ,4,2.343,2.6,-0.257
413,Exp.5,S5_19,NG,14-FZ,5,11.517,11.9,-0.383
414,Exp.5,S5_19,NG,14-FZ,6,13.761,14.4,-0.639
415,Exp.5,S5_20,NG,9-CHP,1,19.602,20.8,-1.198
416,Exp.5,S5_20,NG,9-CHP,2,8.943,9.1,-0.157
417,Exp.5,S5_20,NG,9-CHP,3,25.047,18.6,6.447
418,Exp.5,S5_20,NG,9-CHP,4,14.553,11.9,2.653
419,Exp.5,S5_20,NG,9-CHP,5,5.313,5,0.313
420,Exp.5,S5_20,NG,9-CHP,6,5.082,5.4,-0.318
421,Exp.5,S5_6,DE,16-SJ,1,7.326,4.3,3.026
422,Exp.5,S5_6,DE,16-SJ,2,3.861,4.1,-0.239
423,Exp.5,S5_6,DE,16-SJ,3,3.531,3,0.531
424,Exp.5,S5_6,DE,16-SJ,4,4.257,4.6,-0.343
425,Exp.5,S5_6,DE,16-SJ,5,3.168,2.1,1.068
426,Exp.5,S5_6,DE,16-SJ,6,4.653,4.3,0.353
427,Exp.5,S5_7,BP,10-COM,1,10.626,8,2.626
428,Exp.5,S5_7,BP,10-COM,2,3.795,4,-0.205
429,Exp.5,S5_7,BP,10-COM,3,5.907,4.8,1.107
430,Exp.5,S5_7,BP,10-COM,4,2.046,2,0.046
431,Exp.5,S5_7,BP,10-COM,5,1.617,2,-0.383
432,Exp.5,S5_7,BP,10-COM,6,2.442,1.8,0.642
433,Exp.5,S5_8,DE,20-SH,1,4.62,4.7,-0.08
434,Exp.5,S5_8,DE,20-SH,2,12.045,10.8,1.245
435,Exp.5,S5_8,DE,20-SH,3,1.584,3.9,-2.316
436,Exp.5,S5_8,DE,20-SH,4,45,34.8,10.2
437,Exp.5,S5_8,DE,20-SH,5,29.931,26.3,3.631
438,Exp.5,S5_8,DE,20-SH,6,11.253,10.4,0.853
439,Exp.5,S5_9,BP,17-LW,1,3.861,4.2,-0.339
440,Exp.5,S5_9,BP,17-LW,2,6.303,5.4,0.903
441,Exp.5,S5_9,BP,17-LW,3,9.009,7.4,1.609
442,Exp.5,S5_9,BP,17-LW,4,6.303,6.1,0.203
443,Exp.5,S5_9,BP,17-LW,5,5.049,5,0.049
444,Exp.5,S5_9,BP,17-LW,6,7.821,5.4,2.421
