orig.method,recoded.method,experiment,coder,trial,look.recoded,look.orig,gap,agree
xhab,datavyu,Exp.2,BP,1,10.626,8,2.626,1
xhab,datavyu,Exp.2,DE,4,28.611,29.3,-0.689,1
xhab,datavyu,Exp.2,DE,1,4.125,4.2,-0.075,1
xhab,datavyu,Exp.2,DE,2,45,45,0,1
xhab,datavyu,Exp.2,DE,3,38.676,38,0.676,1
xhab,datavyu,Exp.2,DE,6,19.833,18.4,1.433,1
xhab,datavyu,Exp.2,DE,5,14.304,12.8,1.504,1
xhab,datavyu,Exp.2,NG,6,13.761,14.4,-0.639,1
xhab,datavyu,Exp.2,NG,5,11.517,11.9,-0.383,1
xhab,datavyu,Exp.2,NG,4,2.343,2.6,-0.257,1
xhab,datavyu,Exp.2,NG,3,9.339,8.7,0.639,1
xhab,datavyu,Exp.2,NG,1,8.315,7.3,1.015,1
xhab,datavyu,Exp.2,NG,2,13.53,9.7,3.83,0
xhab,datavyu,Exp.2,NG,3,4.488,10.3,-5.812,0
xhab,datavyu,Exp.2,NG,4,3.597,4,-0.403,1
xhab,datavyu,Exp.2,NG,2,4.521,4.8,-0.279,1
xhab,datavyu,Exp.2,NG,1,3.729,4,-0.271,1
xhab,datavyu,Exp.2,NG,6,9.933,8.1,1.833,1
xhab,datavyu,Exp.2,NG,5,11.682,5.5,6.182,0
xhab,datavyu,Exp.2,DE,4,4.257,4.6,-0.343,1
xhab,datavyu,Exp.2,DE,2,3.861,4.1,-0.239,1
xhab,datavyu,Exp.2,DE,6,4.653,4.3,0.353,1
xhab,datavyu,Exp.2,DE,3,3.531,3,0.531,1
xhab,datavyu,Exp.2,DE,5,3.168,2.1,1.068,1
xhab,datavyu,Exp.2,DE,1,7.326,4.3,3.026,1
xhab,datavyu,Exp.2,BP,1,3.861,4.2,-0.339,1
xhab,datavyu,Exp.2,BP,5,5.049,5,0.049,1
xhab,datavyu,Exp.2,BP,4,6.303,6.1,0.203,1
xhab,datavyu,Exp.2,BP,2,6.303,5.4,0.903,1
xhab,datavyu,Exp.2,BP,3,9.009,7.4,1.609,1
xhab,datavyu,Exp.2,BP,6,7.821,5.4,2.421,1
xhab,datavyu,Exp.2,NG,1,6.798,7.3,-0.502,1
xhab,datavyu,Exp.2,NG,2,3.927,4.3,-0.373,1
xhab,datavyu,Exp.2,NG,3,4.191,4.5,-0.309,1
xhab,datavyu,Exp.2,NG,6,3.993,4.2,-0.207,1
xhab,datavyu,Exp.2,NG,5,9.438,9.2,0.238,1
xhab,datavyu,Exp.2,NG,4,9.008,8.5,0.508,1
xhab,datavyu,Exp.2,BP,1,8.316,8.6,-0.284,1
xhab,datavyu,Exp.2,BP,2,19.767,20,-0.233,1
xhab,datavyu,Exp.2,BP,3,11.715,11.5,0.215,1
xhab,datavyu,Exp.2,BP,4,8.811,8.2,0.611,1
xhab,datavyu,Exp.2,BP,5,11.22,9.1,2.12,1
xhab,datavyu,Exp.2,BP,6,16.566,11.7,4.866,1
xhab,datavyu,Exp.2,DE,3,1.584,3.9,-2.316,1
xhab,datavyu,Exp.2,DE,1,4.62,4.7,-0.08,1
xhab,datavyu,Exp.2,DE,6,11.253,10.4,0.853,1
xhab,datavyu,Exp.2,DE,2,12.045,10.8,1.245,1
xhab,datavyu,Exp.2,DE,5,29.931,26.3,3.631,1
xhab,datavyu,Exp.2,DE,4,45,34.8,10.2,0
xhab,datavyu,Exp.2,NG,1,19.602,20.8,-1.198,1
xhab,datavyu,Exp.2,NG,6,5.082,5.4,-0.318,0
xhab,datavyu,Exp.2,NG,2,8.943,9.1,-0.157,1
xhab,datavyu,Exp.2,NG,5,5.313,5,0.313,0
xhab,datavyu,Exp.2,NG,4,14.553,11.9,2.653,1
xhab,datavyu,Exp.2,NG,3,25.047,18.6,6.447,0
